# Spectres de référence Calvin & Erard (1997) - OMEGA voies C & L
#  clair     sombre
0.40150401 0.14132795
0.40213269 0.14081974
0.40288734 0.14034784
0.40345728 0.14012198
0.40440455 0.14006451
0.40573385 0.14018725
0.40660024 0.14029308
0.40779120 0.14059035
0.40975833 0.14123453
0.41129184 0.14182568
0.41245693 0.14233777
0.41370788 0.14286108
0.41307768 0.14275837
0.41364959 0.14297003
0.41354358 0.14290567
0.41399485 0.14304329
0.41515455 0.14331068
0.41569972 0.14338829
0.41633460 0.14350085
0.41687399 0.14350031
0.41749021 0.14357653
0.41804793 0.14362843
0.41852176 0.14363553
0.41893137 0.14363745
0.41931224 0.14364158
0.41965449 0.14364770
0.41995189 0.14365841
0.42022681 0.14367040
0.42046827 0.14368533
0.42068094 0.14370166
0.42087811 0.14371872
0.42104900 0.14373685
0.42120260 0.14375496
0.42134458 0.14377312
0.42146337 0.14379050
0.42157325 0.14380673
0.42167267 0.14382237
0.42175439 0.14383464
0.42182675 0.14384483
0.42188829 0.14385191
0.42193940 0.14385568
0.42198214 0.14385606
0.42200595 0.14384799
0.42202425 0.14383663
0.42202821 0.14381689
0.42201677 0.14378729
0.42199594 0.14375152
0.42196128 0.14370543
0.42191032 0.14364739
0.42183700 0.14357224
0.42172799 0.14346856
0.42161903 0.14336494
0.42148405 0.14324069
0.42134070 0.14310947
0.42119735 0.14297825
0.42104951 0.14284363
0.42086858 0.14268225
0.42068788 0.14252110
0.42050716 0.14235996
0.42031294 0.14218828
0.42010865 0.14200878
0.41990432 0.14182930
0.41970193 0.14165097
0.41948432 0.14146103
0.41926700 0.14127135
0.41904971 0.14108166
0.41883013 0.14089125
0.41860679 0.14069736
0.41838378 0.14050375
0.41816095 0.14031029
0.41793698 0.14011785
0.41771296 0.13992494
0.41748908 0.13973217
0.41726834 0.13954285
0.41704866 0.13935587
0.41682917 0.13916904
0.41660979 0.13898234
0.41639939 0.13880439
0.41619158 0.13863035
0.41598403 0.13845655
0.41577667 0.13828288
0.41558632 0.13812727
0.41539863 0.13797432
0.41521123 0.13782160
0.41502410 0.13766910
0.41487098 0.13755356
0.41471517 0.13743433
0.41455948 0.13731518
0.41442788 0.13722180
0.41431975 0.13715366
